State,MMBtu_2008_Spring,MMBtu_2008_Summer,MMBtu_2008_Fall,MMBtu_2008_Winter,MMBtu_2009_Spring,MMBtu_2009_Summer,MMBtu_2009_Fall,MMBtu_2009_Winter,MMBtu_2010_Spring,MMBtu_2010_Summer,MMBtu_2010_Fall,MMBtu_2010_Winter,MMBtu_2011_Spring,MMBtu_2011_Summer,MMBtu_2011_Fall,MMBtu_2011_Winter,MMBtu_2012_Spring,MMBtu_2012_Summer,MMBtu_2012_Fall,MMBtu_2012_Winter,MMBtu_2013_Spring,MMBtu_2013_Summer,MMBtu_2013_Fall,MMBtu_2013_Winter,MMBtu_2014_Spring,MMBtu_2014_Summer,MMBtu_2014_Fall,MMBtu_2014_Winter,MMBtu_2015_Spring,MMBtu_2015_Summer,MMBtu_2015_Fall,MMBtu_2015_Winter,MMBtu_2015
AK,18869752,17800818,19671172,22675985,18513532,17406077,19228304,21998655,19628835,17455730,18418322,21965023,19714312,17575692,20047824,22550608,19738866,18153815,20667612,22134464,17374904,16172057,18012375,20682719,17228089,16184452,17260918,19303109,17037216,15747875,17202067,19987387,69974545
AL,375336438,440171110,368647175,399099240,344740983,400661644,379153971,399857045,374442952,443606533,361657564,426628365,361496943,472535229,383141894,412626291,354543966,451378317,377363660,390808722,369910250,425445514,379573598,397672544,367673024,419296851,363151074,402650081,348215511,431963155,372530709,387172478,1539881853
AR,131769285,178237168,146068447,148006343,137463015,186040070,145062829,150644129,143801285,192235247,151956300,166788601,142177117,204642583,146717758,171474676,168524695,191652978,147460993,176851291,138285854,181297030,156998486,169108204,158346811,179699602,157583041,166223002,145114000,179911857,121980996,138948065,585954918
AZ,255851190,330989495,273737974,266462606,234635385,316746424,260348850,254366450,233824515,319082625,275741393,249906331,231109070,315880495,263004373,254387249,245819899,314532746,253177117,254308726,246914411,334615111,260729487,250877450,237852438,328328343,274729029,249728933,235447390,338744721,270746816,236481161,1081420088
CA,477143664,581506672,486484986,469027631,474247822,580724187,496794038,440815759,468406414,560998723,495491490,457952007,474112443,557308450,493226631,468461214,436252749,539198691,491178375,435355733,434345198,544171275,472956541,432099364,436824461,531814930,479355724,418585785,420271903,559818948,467476032,395938561,1843505444
CO,125337621,144672578,126257352,141605674,117800811,134059137,125177988,134130143,116141790,141965134,123576552,134294553,118785468,142616315,125895027,137055304,119955756,149621863,126218978,133539708,127641646,145473544,122865836,139872243,126381088,142529240,127803400,140574999,118981909,142100803,122642325,138061619,521786656
CT,70434037,87119917,69175991,83409110,78516824,80770066,71735624,82169825,65494287,97238249,86032807,82420756,74590340,92818586,71315887,86202699,83349336,95028836,82492256,86204859,76177751,90714557,84179413,91843532,75142295,90049464,71833342,88938378,85564991,93431523,80578660,96155976,355731150
DC,7952,812228,63510,70572,13601,365629,0,109150,371992,1901604,261787,70230,281857,1877824,282922,229835,387769,311702,245661,243412,215187,265998,229363,207591,217290,274812,226919,192903,157308,404051,378512,228214,1168085
DE,18839133,26871265,19986436,25907677,8099527,17156983,13560376,19776410,8458951,22815786,11837486,14319700,15014568,23437557,17201607,12284554,21710083,28362423,20848918,17829668,19948496,25950551,20172128,15622084,18639076,22911460,19512091,19175549,20382557,24173198,16549210,17695911,78800876
FL,525116520,633362291,533845124,481698208,496178828,625318676,530922598,474319427,496931055,648541165,523082039,538939877,509762118,632380727,508083352,461490231,507973842,593744882,502981798,468634889,497376296,607752111,530607347,463800687,513865288,615528759,524388635,503127535,540805955,629159328,544881040,496499054,2211345377
GA,340284397,420019671,346194545,367244834,294190080,408896561,321737424,340807358,334921273,436312499,335868958,365731782,318395188,411183526,289704758,324813087,310427701,381862174,297779880,284272388,287275486,366753167,309806296,301704522,305181852,392685241,310653913,333731850,329515447,407233605,307660533,328761271,1373170856
HI,31516739,32743052,31433865,29241466,29720234,32303670,31541662,28072309,28632201,30318415,29858998,27212295,29895586,29764259,28903205,27180578,26910165,27394097,27223169,28402889,26820034,28791408,28550654,25758521,26845235,28756679,28877497,26105309,25762875,29347224,29030208,25165703,109306010
IA,142159015,146633498,142445659,159259721,133356478,149573953,143295032,156895438,153110555,173015262,151069555,164341641,151537507,169642355,149793223,156468774,142843067,170876486,144842432,164868072,150466080,164374123,144986944,165326877,146324261,157403931,144667676,174348382,150067612,155264844,137703911,162892981,605929348
ID,35963499,44200580,24061969,25592173,38347529,46769227,26543839,29156453,29518240,46450867,28445465,28344826,47522868,54753505,34089274,40235530,48194294,48793901,30090987,34997024,42740968,47725155,32957787,34306988,48209732,47549623,33172284,35473763,41455575,46672576,34444561,39352800,161925512
IL,502653593,586187609,529450850,548763484,494806014,548483170,501386492,546401655,499810240,586641989,521899737,555295450,498107852,591944617,521830801,544232504,491713764,585285748,504399710,552725038,513311013,565213681,530296002,569571069,510494246,562267420,529016317,571223953,486203553,552063275,494131203,526414725,2058812756
IN,330534146,393493119,329828535,383402788,306476471,334389525,287136869,355093698,293577165,386230455,316500952,368248917,294747766,382053711,305248911,342728580,274814758,350511871,290527907,318341408,280237827,326284680,295536010,319214250,302042628,336053318,287761282,346008991,259556645,311089478,259839252,298805366,1129290741
KS,100913315,142109789,125627628,134571531,116938988,141474574,113580070,135715260,122297743,151126863,118574407,128836796,104229476,143991257,118696287,122806233,100425899,148439730,123132163,108504509,113787559,150119529,126382750,130123743,114793399,152422249,127942359,137148286,106166103,141274438,116784979,120037197,484262717
KY,238333416,272797860,254415229,279904455,229346317,259566557,221945706,259266707,230596286,291428496,235271444,288410586,243019780,292491873,239697785,267975959,216898217,277858986,226064222,246466074,231909294,252470410,222335620,259288279,224251541,255911804,222120565,275576852,215133828,242921864,189855125,239402855,887313672
LA,252467113,314257578,250637068,253264912,244102473,303740719,253902955,262210851,264132156,339257199,286336468,278106172,281943458,342420495,286932207,288731719,279137813,340819622,287838653,277699723,277243266,329382364,286782554,280976238,270037968,335286342,291452858,298459155,268755928,335986366,288020793,295657619,1188420706
